STATE,District,Dist_Code,TEHSIL,lat,lon,date,Tmax_mean,Tmax_Std,Tmin_Mean,Tmin_Std,IMD_pr_Mean,IMD_pr_std
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,07-18,34.45,2.23,26.44,1.22,4.315,6.955
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,07-19,34.53,1.99,26.32,1.08,3.81,5.43
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,07-20,34.29,1.77,26.19,0.93,6.14,10.255
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,07-21,33.81,1.84,25.93,1.11,4.92,7.455
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,07-22,33.86,1.98,26.05,1.03,5.165,7.94
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,07-23,33.9,1.83,26.13,0.99,2.89,5.5
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,07-24,33.7,1.7,26.22,1.01,1.89,2.815
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,07-25,33.43,1.81,26.12,1.03,5.09,12.59
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,07-26,33.24,1.96,25.86,1.12,6.37,9.11
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,07-27,32.8,2.17,25.77,1.14,5.92,9.15
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,07-28,32.95,1.97,25.6,1.14,7.96,11.7
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,07-29,32.85,2.05,25.66,0.95,4.465,7.41
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,07-30,33.22,1.93,25.82,1.04,5.125,8.875
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,07-31,33.21,1.65,25.88,0.96,4.715,9.95
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,08-01,33.42,1.57,25.69,0.85,4.07,8.55
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,08-02,32.95,1.56,25.68,0.87,2.62,5.245
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,08-03,32.72,1.7,25.58,0.75,5.26,8.415
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,08-04,33.12,1.55,25.59,0.81,4.015,6.545
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,08-05,33.42,1.23,25.76,0.75,3.89,6.655
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,08-06,33.12,1.33,25.93,0.74,4.79,11.635
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,08-07,32.74,1.49,25.69,0.76,4.255,6.545
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,08-08,32.92,1.65,25.73,0.99,5.345,8.94
UTTAR PRADESH,AURAIYA,D682,AURAIYA,26.5,79.5,08-09,33.07,1.63,25.81,0.8,3.99,6.83
